Common Name,Species Name,Venomous,Status,Distribution,Habitat,Description, Ecological Role
Asian Vine Snake,Ahaetulla prasina preocularis,Mildly venomous,Least concern,"Found across most of the Philippine archipelago, including Luzon, Panay, Negros, Cebu, Bohol, Leyte, and Mindanao.","Arboreal (tree-dwelling), found in forests and foliage across the Philippines, often near water.","slender, bright green, tree-dwelling snake common in the Philippines, recognized by its long snout, large eyes with horizontal pupils, and ability to flatten its body to mimic foliage, using mild venom to catch its lizard and frog prey. ","important predator in its native ecosystem, playing a key role in maintaining the balance of its forest and scrubland habitats. "
Philippine Blunt-headed Tree Snake,Boiga angulata,Mildly venomous,Least concern,"Endemic to the Philippines, found on islands including Leyte, Luzon, Panay, and Romblon.","Inhabits lowland and montane tropical moist forests, as well as disturbed habitats.","commonly known as the Leyte cat snake or Philippine blunt-headed tree snake, is a species of rear-fanged snake endemic to the Philippines.","As a nocturnal hunter, it controls populations of small vertebrates that inhabit the upper layers of lowland and montane forests. Its primary prey includes:"
"Dog-toothed Cat Snake",Boiga cynodon ,Mildly venomous,Least concern,"Widely distributed across Indonesia, Malaysia, Singapore, the Philippines, Thailand, Myanmar, and Bangladesh.","Primarily inhabits lowland forests, forest edges, and peatlands. It is highly adaptable and also found in disturbed areas like secondary forests, gardens, and coconut plantations.","Boiga cynodon, commonly known as the dog-toothed cat snake, is a large, arboreal species of rear-fanged colubrid found across Southeast Asia and parts of South Asia.","major regulator of bird populations. It is specifically adapted to hunt roosting birds and raid nests for eggs. Its enlarged ""dog-like"" teeth are an evolutionary adaptation for piercing feathers and securely gripping struggling avian prey."
Paradise Flying Tree Snake,Chrysopelea paradisi variabilis,Mildly venomous,Least concern,"Widespread across the Philippines, including Luzon, Panay, and the Sulu Archipelago.","Primarily diurnal and arboreal, inhabiting lowland forests, woodlands, coconut plantations, and rural gardens.",A subspecies of the paradise flying snake endemic to the Philippines. It is renowned for its remarkable ability to glide through the air by flattening its body into a concave airfoil.,"As a diurnal (day-active) hunter, it maintains the balance of lizard populations, specifically targeting tree-dwelling species such as emerald skinks (Lamprolepis smaragdina philippinica) and geckos."
Common Bronze-backed Snake,Dendrelaphis pictus,Non-venomous,Least concern,"True D. pictus is confirmed in Singapore (type locality), Thailand, Peninsular Malaysia, Sumatra, Java, and Borneo.","Prefers forest edges, secondary scrub, parks, and gardens; it is rarely found in dense, primary forests.","Dendrelaphis pictus, commonly known as the painted bronzeback or common bronzeback, is a highly active, slender tree snake widespread across Southeast Asia.","They are primary predators of lizards (geckos, skinks) and frogs. D. pictus also consumes small birds, eggs, rodents, and occasionally other small snakes. This helps regulate vertebrate populations in the mid-to-high canopy where many other predators cannot reach."
Philippine whipsnake,Dryophiops philippina,Mildly venomous,Vulnerable,"Endemic to several Philippine islands, including Luzon, Mindoro, Sibuyan, Panay, Negros, Samar, and eastern Mindanao.","Primarily found in primary and secondary lowland tropical moist forests. While arboreal, it is frequently seen on the forest floor among leaf litter. ","Dryophiops philippina, known as the keel-bellied whipsnake or Philippine whipsnake, is a slender, rear-fanged species endemic to the Philippines."," It is a highly specialized hunter that primarily pursues geckos and other arboreal lizards. By regulating these populations, it helps maintain the balance of small vertebrate communities in tropical forests."
Grey Tailed Brown Rat Snake,Coelognathus erythrurus psephenourus,Non-venomous,Least concern,"Primarily found in the Visayan Islands, including Panay, Negros, Cebu, Sibuyan, and Tablas.","A versatile species inhabiting lowland and highland forests, open woodlands, wetlands, and cave systems.","Coelognathus erythrurus psephenourus, commonly known as the Philippine gray-tailed ratsnake, is a non-venomous subspecies of the Philippine ratsnake endemic to the central islands of the Philippines."," As its name suggests, this subspecies is an efficient predator of rodents like rats and mice. By preying on these small mammals, it helps prevent massive crop destruction in agricultural areas and reduces the transmission of rodent-borne diseases."
Red-tailed Rat Snake,Gonyosoma oxycephalum,Non-venomous,Least concern,"Widespread across Southeast Asia, including the Philippines, Indonesia, Malaysia, Singapore, Thailand, and Vietnam.","nhabits lowland tropical rainforests, mangroves, and forest edges. It is primarily arboreal, living in tree cavities and rarely descending to the ground. ","Gonyosoma oxycephalum, commonly known as the red-tailed racer or red-tailed green rat snake, is a large, striking arboreal snake native to Southeast Asia. ","By regulating the populations of nest-raiding animals and competitive arboreal vertebrates, it maintains the overall stability of forest biodiversity. "
Common Wolf Snake,Lycodon capucinus,Non-venomous,Least concern,"Found throughout Southeast Asia, including Thailand, Malaysia, Singapore, and Indonesia. In the Philippines, it is a common species across the archipelago.",Highly adaptable; it inhabits lowland forests but is most commonly found in agricultural and residential areas. It frequently enters homes to hunt geckos. ,"Lycodon capucinus, commonly known as the common wolf snake or Oriental wolf snake, is a slender, highly adaptable colubrid widespread across Southeast Asia. In the Philippines, it is frequently referred to as the house snake or locally as ahas tulog",It serves as a natural controller of lizards (especially geckos and skinks) and small rodents in and around human settlements.
Smooth-scaled Mountain Rat Snake,Ptyas luzonensis,Non-venomous,Least concern,"Endemic to the islands of Luzon, Polillo, Catanduanes, Leyte, Panay, and Negros.","Primarily inhabits lowland tropical forests and mountainous areas, often found between 250 and 1,000 meters above sea level.","Ptyas luzonensis, commonly known as the smooth-scaled mountain rat snake or Philippine mountain rat snake, is a large, non-venomous colubrid endemic to the Philippines. ","Plays a vital role in regulating vertebrate populations. Despite its name, its primary diet consists of frogs, though it also consumes rodents, bats, and lizards."
